IRIS;REG;DEP;TYP_IRIS;P18_LOG;P18_RP;P18_RSECOCC
010010000;84;01;Z;354;311;16
010020000;84;01;Z;174;105;53
010040101;84;01;H;913;810;22
010040102;84;01;H;2036;1789;18
010040201;84;01;H;2198;1957;22
010040202;84;01;H;2196;1975;57
010050000;84;01;Z;774;710;5
010060000;84;01;Z;76;54;12
010070000;84;01;Z;1261;1153;48
010080000;84;01;Z;354;322;6
010090000;84;01;Z;191;145;24
010100000;84;01;Z;595;467;79
010110000;84;01;Z;187;150;21
010120000;84;01;Z;219;148;50
010130000;84;01;Z;116;63;36
010140000;84;01;Z;1468;1354;9
010150000;84;01;Z;408;292;73
010160000;84;01;Z;220;184;18
010170000;84;01;Z;321;198;65
010190000;84;01;Z;31;14;16
010210000;84;01;Z;575;530;15
010220000;84;01;Z;730;577;40
010230000;84;01;Z;45;32;8
010240000;84;01;Z;1398;1308;13
010250000;84;01;Z;1724;1602;23
010260000;84;01;Z;453;417;9
010270000;84;01;Z;738;693;4
010280000;84;01;Z;261;241;6
010290000;84;01;Z;314;262;25
010300000;84;01;Z;448;376;8
010310000;84;01;Z;1833;1675;27
010320000;84;01;Z;1292;1213;26
010330102;84;01;H;1950;1519;60
010330103;84;01;H;1370;1090;49
010330201;84;01;H;1279;1119;35
010330202;84;01;H;1269;1187;14
010330301;84;01;H;771;662;10
010330401;84;01;H;1719;1531;77
010340101;84;01;H;1730;1495;38
010340102;84;01;H;2129;1787;60
010340103;84;01;H;1093;933;26
010350000;84;01;Z;232;148;67
010360000;84;01;Z;973;607;286
010370000;84;01;Z;190;126;43
010380000;84;01;Z;340;318;11
010390000;84;01;Z;267;198;40
010400000;84;01;Z;225;192;11
010410000;84;01;Z;393;329;14
010420000;84;01;Z;124;114;2
010430000;84;01;Z;2001;1873;21
010440000;84;01;Z;344;265;23
010450000;84;01;Z;119;102;12
010460000;84;01;Z;374;340;15
010470000;84;01;Z;446;414;14
010490000;84;01;Z;1337;1237;21
010500000;84;01;Z;152;128;17
010510000;84;01;Z;91;46;41
010520000;84;01;Z;147;135;9
010530101;84;01;H;1609;1218;76
010530102;84;01;H;1483;1215;40
010530103;84;01;H;1340;1043;32
010530201;84;01;H;1392;1244;20
010530202;84;01;H;1217;1106;34
010530203;84;01;H;1232;1090;23
010530301;84;01;H;1880;1585;86
010530302;84;01;H;1912;1649;104
010530401;84;01;H;1145;1015;9
010530402;84;01;H;1260;1138;19
010530501;84;01;H;922;824;9
010530502;84;01;H;1502;1350;22
010530503;84;01;H;1372;1228;7
010530601;84;01;H;1555;1359;37
010530602;84;01;H;982;896;9
010530603;84;01;H;806;749;0
010530604;84;01;H;630;590;5
010530701;84;01;H;1261;1128;34
010540000;84;01;Z;566;535;10
010560000;84;01;Z;226;149;48
010570000;84;01;Z;241;212;15
010580000;84;01;Z;421;349;28
010600000;84;01;Z;372;239;82
010610000;84;01;Z;530;472;35
010620000;84;01;Z;397;359;9
010630000;84;01;Z;245;228;3
010640000;84;01;Z;529;448;45
010650000;84;01;Z;790;756;8
010660000;84;01;Z;91;38;53
010670000;84;01;Z;128;107;10
010680000;84;01;Z;452;337;51
010690000;84;01;Z;671;641;6
010710000;84;01;Z;2248;2030;126
010720000;84;01;Z;1449;1321;27
010730000;84;01;Z;584;452;103
010740000;84;01;Z;1131;1047;16
010750000;84;01;Z;571;536;8
010760000;84;01;Z;142;66;48
010770000;84;01;Z;134;95;21
010780000;84;01;Z;726;605;71
010790000;84;01;Z;426;309;63
010800000;84;01;Z;409;283;89
010810000;84;01;Z;457;346;63
010820000;84;01;Z;297;231;35
010830000;84;01;Z;388;351;19
010840000;84;01;Z;374;329;21
010850000;84;01;Z;166;150;4
010870000;84;01;Z;175;120;36
010880000;84;01;Z;396;355;19
010890000;84;01;Z;900;840;23
010900000;84;01;Z;164;149;8
010920000;84;01;Z;730;633;49
010930000;84;01;Z;2542;2242;43
010940000;84;01;Z;379;319;25
010950000;84;01;Z;459;337;70
010960000;84;01;Z;438;398;13
010980000;84;01;Z;558;470;40
010990000;84;01;Z;736;681;25
011000000;84;01;Z;119;75;27
011010000;84;01;Z;91;69;10
011020000;84;01;Z;397;370;5
