Code_commune;Nom_commune;Pop_municipale;Pop_totale;Code canton
1;Affoux;391,00;394,00;10
2;Aigueperse;245,00;246,00;11
3;Albigny-sur-Saône;2947,00;2989,00;00
4;Alix;768,00;792,00;04
5;Ambérieux;584,00;593,00;01
6;Amplepuis;4919,00;5038,00;11
7;Ampuis;2749,00;2794,00;08
8;Ancy;668,00;683,00;10
9;Anse;7538,00;7702,00;01
10;L'Arbresle;6410,00;6606,00;02
12;LesArdillats;611,00;626,00;03
13;Arnas;3897,00;3979,00;07
14;Aveize;1129,00;1151,00;12
16;Azolette;121,00;121,00;11
17;Bagnols;745,00;766,00;04
18;Beaujeu;2148,00;2180,00;03
179;Beauvallon;4055,00;4129,00;08
19;Belleville-en-Beaujolais;13314,00;13591,00;03
20;Belmont-d'Azergues;681,00;700,00;04
21;Bessenay;2340,00;2420,00;02
22;Bibost;558,00;574,00;02
23;Blacé;1635,00;1660,00;07
26;LeBreuil;548,00;558,00;04
27;Brignais;12097,00;12272,00;05
28;Brindas;6478,00;6589,00;05
29;Bron;42244,00;42645,00;00
30;Brullioles;818,00;833,00;02
31;Brussieu;1379,00;1483,00;02
32;Bully;1988,00;2024,00;04
33;Cailloux-sur-Fontaines;2883,00;2957,00;00
34;Caluire-et-Cuire;43294,00;43916,00;00
35;Cenves;381,00;388,00;03
36;Cercié;1138,00;1160,00;03
228;Chabanière;4224,00;4317,00;08
37;Chambost-Allières;833,00;845,00;10
38;Chambost-Longessaigne;928,00;953,00;02
39;Chamelet;694,00;704,00;04
40;Champagne-au-Mont-d'Or;5748,00;5796,00;00
42;LaChapelle-sur-Coise;566,00;581,00;12
270;Chaponnay;4355,00;4422,00;09
43;Chaponost;8846,00;9019,00;05
44;Charbonnières-les-Bains;5170,00;5316,00;00
45;Charentay;1248,00;1316,00;03
46;Charly;4563,00;4701,00;00
47;Charnay;1051,00;1072,00;04
49;Chasselay;2791,00;2856,00;01
271;Chassieu;10638,00;10790,00;00
50;Châtillon;2113,00;2155,00;04
51;Chaussan;1170,00;1203,00;08
52;Chazay-d'Azergues;4132,00;4245,00;01
53;Chénas;543,00;556,00;03
54;Chénelette;343,00;345,00;11
55;LesChères;1448,00;1475,00;01
56;Chessy;2107,00;2159,00;04
57;Chevinay;582,00;595,00;02
58;Chiroubles;384,00;393,00;03
59;Civrieux-d'Azergues;1537,00;1565,00;01
60;Claveisolles;576,00;659,00;11
61;Cogny;1188,00;1222,00;04
62;Coise;778,00;801,00;12
63;Collonges-au-Mont-d'Or;4315,00;4401,00;00
299;Colombier-Saugnieu;2700,00;2742,00;06
272;Communay;4242,00;4327,00;09
64;Condrieu;3957,00;4040,00;08
273;Corbas;11196,00;11269,00;00
65;Corcelles-en-Beaujolais;965,00;980,00;03
66;Cours;4390,00;4470,00;11
67;Courzieu;1168,00;1189,00;02
68;Couzon-au-Mont-d'Or;2454,00;2502,00;00
69;Craponne;11248,00;11432,00;00
70;Cublize;1266,00;1294,00;11
71;Curis-au-Mont-d'Or;1179,00;1206,00;00
72;Dardilly;8752,00;9364,00;00
275;Décines-Charpieu;28930,00;29069,00;00
74;Denicé;1550,00;1590,00;07
135;Deux-Grosnes;1911,00;1964,00;11
75;Dième;193,00;195,00;10
76;Dommartin;2595,00;2696,00;01
