"";"ID";"REGION";"AGE";"SEXE";"ENFANTS";"DIPLOME";"CLASSE";"data_ech_valeurs"
"304005";304005;3;50;"M";2;3;"A";244
"742677";742677;1;35;"F";1;1;"C";221
"903377";903377;3;45;"F";2;2;"A";238
"168108";168108;6;65;"F";0;1;"A";257
"939205";939205;1;60;"M";1;1;"A";187
"111274";111274;8;60;"M";1;3;"B";251
"285310";285310;7;35;"F";2;3;"C";255
"561672";561672;5;35;"M";5;1;"A";212
"240053";240053;1;35;"F";1;3;"A";233
"547038";547038;3;65;"F";3;2;"A";235
"676961";676961;7;35;"M";0;2;"A";228
"398562";398562;4;65;"F";0;2;"A";247
"673109";673109;8;65;"M";0;2;"B";235
"789001";789001;7;25;"M";0;3;"A";258
"171162";171162;8;65;"F";2;1;"A";211
"609274";609274;7;55;"F";2;1;"C";256
"700807";700807;3;55;"F";1;1;"C";258
"669588";669588;5;20;"F";0;3;"A";266
"206707";206707;5;40;"F";2;1;"A";239
"55225";55225;6;35;"M";3;2;"B";197
"233842";233842;5;60;"F";1;2;"B";292
"651365";651365;1;20;"F";0;2;"B";261
"238185";238185;5;65;"F";0;2;"B";223
"729200";729200;4;25;"F";0;2;"A";228
"462121";462121;8;50;"F";1;2;"B";237
"945053";945053;7;35;"F";0;2;"B";232
"892914";892914;8;65;"M";4;1;"C";222
"499239";499239;2;40;"M";0;2;"A";217
"55046";55046;2;50;"F";1;1;"A";237
"716392";716392;2;65;"F";2;2;"A";241
"884705";884705;8;65;"F";1;1;"A";229
"222002";222002;6;20;"M";0;3;"A";214
"746491";746491;3;20;"F";0;2;"B";243
"619723";619723;7;25;"M";0;4;"B";266
"389797";389797;1;45;"F";3;4;"A";249
"145766";145766;6;50;"M";1;3;"B";210
"86763";86763;5;45;"F";4;1;"A";243
"919153";919153;5;40;"F";4;2;"B";226
"360506";360506;5;30;"F";1;1;"A";231
"890787";890787;1;25;"M";1;3;"A";265
"244060";244060;6;50;"F";2;2;"A";218
"374561";374561;6;30;"F";2;2;"A";280
"829512";829512;6;55;"F";2;4;"C";239
"667133";667133;1;35;"M";3;3;"A";211
"598415";598415;4;65;"M";1;2;"B";210
"621051";621051;5;25;"F";0;2;"C";264
"41776";41776;1;50;"F";1;3;"A";252
"192972";192972;1;40;"M";1;2;"B";243
"567661";567661;1;40;"F";0;2;"A";249
"534942";534942;4;20;"F";0;1;"A";234
"332063";332063;4;30;"F";2;1;"A";258
"965997";965997;3;50;"F";1;1;"B";242
"662260";662260;8;35;"M";2;1;"C";210
"430923";430923;7;50;"F";2;1;"C";238
"242559";242559;2;35;"F";2;3;"A";235
"849027";849027;2;45;"M";1;1;"B";207
"560171";560171;8;20;"M";0;2;"A";209
"479789";479789;7;30;"F";0;4;"C";250
"270907";270907;2;50;"F";2;1;"A";213
"664253";664253;8;30;"M";0;3;"A";267
"305139";305139;6;35;"F";1;1;"B";245
"538457";538457;4;40;"F";0;2;"A";260
"629893";629893;2;20;"F";0;1;"A";218
"74288";74288;1;40;"F";2;2;"A";272
"822313";822313;5;60;"F";3;2;"B";238
"954277";954277;5;35;"M";0;4;"A";220
"911659";911659;6;60;"M";1;1;"A";202
"562009";562009;2;65;"F";0;2;"B";247
"806460";806460;2;35;"M";2;2;"A";198
"75672";75672;6;45;"F";2;1;"C";248
"620606";620606;4;55;"F";2;2;"C";291
"719703";719703;1;30;"F";0;2;"A";257
"27364";27364;7;65;"M";2;2;"C";NA
"956358";956358;4;45;"M";2;1;"A";244
"585026";585026;6;20;"M";0;1;"B";200
"92292";92292;2;60;"M";2;1;"A";NA
"106577";106577;5;35;"F";0;1;"C";245
"432696";432696;2;50;"M";5;1;"A";186
"859150";859150;3;40;"F";4;3;"B";272
"413660";413660;5;50;"F";1;2;"A";245
"478200";478200;7;55;"F";0;2;"C";208
"399477";399477;3;60;"F";3;3;"B";270
"534892";534892;1;35;"F";1;2;"A";231
"965568";965568;8;60;"M";4;1;"B";208
"147963";147963;4;40;"M";1;2;"B";230
"591932";591932;7;60;"M";2;2;"B";228
"446416";446416;5;55;"M";4;3;"C";217
"257711";257711;3;50;"M";1;2;"C";235
"279316";279316;1;60;"M";2;1;"B";240
"455838";455838;7;50;"M";2;2;"A";225
"245102";245102;1;30;"M";0;2;"B";211
"430254";430254;6;30;"F";1;2;"B";257
"257757";257757;3;45;"F";1;2;"A";258
"436682";436682;6;30;"F";3;3;"A";249
"901921";901921;6;30;"M";1;3;"A";250
"503193";503193;3;50;"M";0;4;"B";310
"37093";37093;4;45;"F";4;3;"C";269
"648230";648230;7;45;"M";0;2;"A";233
"583387";583387;3;20;"F";0;3;"A";274
"29193";29193;6;25;"F";0;2;"A";252
"342490";342490;6;35;"F";0;2;"B";281
"820760";820760;8;60;"M";0;2;"B";228
"488745";488745;3;55;"F";0;3;"A";253
"343565";343565;7;40;"F";0;1;"C";211
"921313";921313;5;45;"M";0;3;"B";202
"429744";429744;1;35;"M";3;1;"A";185
"81935";81935;8;65;"F";4;3;"B";278
"666151";666151;6;65;"M";1;1;"A";228
"269650";269650;6;30;"M";1;1;"B";200
"759198";759198;2;50;"M";2;1;"A";220
"414096";414096;5;20;"F";0;1;"C";236
"578758";578758;1;65;"F";1;2;"A";242
"624288";624288;6;20;"M";0;3;"A";261
"776731";776731;7;60;"M";4;3;"C";285
"662951";662951;3;55;"M";2;3;"A";250
"119887";119887;6;50;"F";1;3;"A";242
"279792";279792;8;45;"M";2;3;"B";246
"986966";986966;4;65;"M";2;1;"C";240
"467375";467375;8;20;"F";0;2;"A";250
"294689";294689;8;60;"M";1;3;"C";240
"521549";521549;3;25;"F";0;3;"C";245
"432637";432637;4;45;"M";4;1;"C";212
"769263";769263;7;30;"F";1;1;"C";238
"565003";565003;4;25;"F";0;2;"A";241
"189165";189165;6;65;"F";1;1;"B";237
"617987";617987;8;20;"F";0;3;"A";248
"476493";476493;3;35;"F";1;3;"C";266
"682698";682698;1;55;"M";2;2;"B";215
"522225";522225;6;30;"M";0;2;"A";229
"385858";385858;6;20;"F";0;2;"B";251
"176987";176987;5;25;"F";0;4;"A";284
"788127";788127;8;45;"M";4;1;"B";213
"572501";572501;8;35;"F";1;3;"A";238
"528216";528216;5;35;"F";1;1;"C";211
"197291";197291;6;20;"F";0;3;"B";272
"239051";239051;3;45;"F";3;2;"A";256
"96555";96555;4;60;"F";0;1;"A";243
"908967";908967;2;20;"F";0;3;"A";227
"262487";262487;2;45;"M";3;3;"A";242
"216748";216748;4;20;"M";0;3;"A";296
"995823";995823;5;45;"F";2;2;"C";240
"70469";70469;7;65;"M";1;3;"B";267
"1096";1096;7;60;"F";1;2;"C";232
"251542";251542;1;45;"F";1;3;"A";251
"492546";492546;4;65;"M";1;1;"A";209
"365053";365053;7;65;"M";3;1;"C";186
"833653";833653;3;45;"M";4;3;"A";241
"730836";730836;2;60;"M";2;1;"A";187
"597738";597738;4;55;"M";3;1;"B";206
"989161";989161;8;20;"F";0;3;"A";269
"607971";607971;2;45;"M";4;2;"A";245
"974231";974231;2;35;"F";2;2;"B";245
"277261";277261;2;45;"M";2;3;"A";200
"489791";489791;1;50;"M";1;2;"A";227
"643906";643906;1;60;"M";1;1;"B";219
"719516";719516;4;55;"F";4;1;"A";236
"309379";309379;5;20;"M";1;1;"B";234
"393686";393686;3;25;"M";0;3;"B";219
"74662";74662;4;40;"F";4;1;"A";214
"42572";42572;7;40;"M";4;2;"C";246
"283679";283679;6;45;"M";2;2;"B";212
