Etudiant;Stat1;Stat2;Stat3;Stat4;info1;info2;info3;info4;Eco;Com;Anglais;PPP;ConduiteProjet;Projettut;stage;Sport;Absence;Bac
E01;15,5;9;15;9,25;10,68;8,5;11,68;13,15;10,9;14,25;9,7;14;16;12,18;13,64;0,4;3;S
E02;12;5;6;7,5;13,6;6,5;6,03;8,52;9,9;14,45;14,3;14;17;13,63;11,85;0,3;1,3;ES
E03;14,5;9,5;10;10,5;13,75;12;11,9;15,05;12,85;14,65;14,8;17;17;13,5;14,89;0,45;5,7;ES
E04;9;5,75;7,5;8,38;11,73;7;8,43;10,34;12,03;16,75;13,7;13;13;14,02;14,95;0,35;0,3;S
E05;14,5;11;19;16;17,7;12;13,1;11,7;16,75;17,4;11;19;15,5;15,08;15,21;0,3;0;ES
E06;14;10,25;10,5;12,25;11,55;10,25;9,75;11,83;10,9;11,45;11,27;13;13;16,4;10,98;0,35;1;S
E07;11,5;9,5;5;9,5;12,03;5,5;6,45;14,58;9,55;14,7;11,25;12;14;14,6;13,85;0,45;3,6;ES
E08;15;10;17,5;10,25;11,13;7,25;11,65;10,03;9,43;14,7;14,1;15;17;14,45;12,7;0,1;1;S
E09;16,5;15;17,5;11,25;13,55;12,25;14,98;13,38;15,6;13,75;15,95;15;16;12,17;14,4;0,45;2,7;S
E10;13,5;17;19;10,25;10,6;15,25;16,6;16,1;11,6;13,2;13,5;5,65;14;16,31;14,23;0,45;4,7;S
E11;18;14;15,5;14,75;17,2;16,75;14,93;11,82;10,85;17,2;13,3;13;15,5;14,37;13,61;0,35;0;S
E12;13;14;12;12,5;9,9;7;12,18;12,68;12,8;15,25;8,7;14;16;13,37;14,6;0,45;2,6;S
E13;17,5;10,25;13;13,5;12,2;11,25;13,95;14,58;11,4;13,3;7,9;13;14;13,51;13,63;0,2;0;S
E14;13,5;10,5;9;13,25;16,08;9,5;11,05;14,58;11,15;14,75;13,9;14;17;15,28;14,86;0,4;3,7;ES
E15;12,5;17,5;20;12,75;14,43;15,38;16,75;14,32;12,88;15,6;12,88;18;16;11,67;15,43;0,3;5;S
E16;17;17,5;16;13,25;14,03;9;13,5;14,23;11,48;17,6;13;12,5;14;15,9;12,11;0,45;4,3;S
E17;12;6,25;7,5;11,25;8,13;9,13;10,4;10,77;14,15;16,9;8,5;19;15,5;16,13;12,84;0,2;0;ES
E18;16,5;14;14;11,5;14,78;11;11,03;14,82;11,4;17,2;13,25;18;14;17,13;15,17;0,4;1,7;S
E19;3,5;5;4,5;4,75;4,9;4,25;2,25;7,15;12,83;14,75;6,75;12;15,5;11,59;12,9;0,35;7,6;ES
E20;15;7,5;11,5;10;12,48;8,75;14,43;12,95;12,95;14,4;12,38;18;17;13,78;12,49;0,45;5,3;ES
E21;11;9,75;12,5;9,75;11,8;7;14,9;12,33;10,85;12,5;12,25;15;16;14,12;15,1;0,2;2,6;autre
E22;14;14;14;12;10,45;13;13,03;9,72;11,73;15,65;11,75;10;15,5;15,89;13,92;0,45;0,3;S
E23;16;15,25;20;16,75;15,88;11,75;17,43;16,08;15,25;16,4;17;18;13,5;15,75;14,63;0,25;5,7;S
E24;16;13;11,5;15,5;10,25;8,75;9,2;10,48;10,85;15,9;12,63;17;15,5;14,85;15,2;0,05;5;ES
E25;8;16,75;12,5;9,25;15,83;6,25;9,7;15,62;14,5;12,4;14,75;15;13,5;14,58;15,24;0,45;6,7;ES
E26;17;15,5;16,5;11,75;15;12,5;16,2;11,22;9,85;14,2;14;15;13,5;15,9;16,33;0,4;3,7;S
E27;12,5;8,5;9;9,75;9,75;4;4,65;13,85;10,05;16,7;14;14;14;12,76;14,04;0,35;5;ES
E28;14,5;6;16,5;10,5;11,7;11,75;9,15;14,6;10,9;14,9;12,75;17;13,5;16,65;14,5;0,1;2,3;ES
E29;17,5;11;18;15,25;12,93;14,25;14,58;15,85;10,85;17,45;12,75;18;15,5;14,09;11,39;0,4;4;S
E30;13,5;15,5;13;16,75;12,43;13;13,58;13,5;9,13;17;14,44;15,5;14,75;15,44;15,39;0,3;3,3;S
E31;18;17,5;16,5;13,5;16,2;13,38;17,8;16,43;11,5;15,6;16,75;15;13,5;15,59;15,48;0,45;3,7;S
E32;15,5;10;15;16,63;14,1;13,63;9,3;10,23;12,03;16,75;14;14;14,75;15,38;14,46;0,45;0;ES
E33;11;10,5;14;11,13;11,93;12;8,85;10,78;10,25;12,6;8,25;13;13;15,19;14,66;0,2;2;S
E34;13;10,5;9,5;8,75;14,9;9,25;12,35;11,17;10,08;13,4;16,5;10;14;14,69;11,96;0,45;3,7;S
E35;10;7,75;5,5;7,5;10,13;6,38;9,6;11,57;10,1;11,6;12,5;8,5;13,5;14,81;12,91;0,25;5;S
E36;15;12,5;16;16;12,38;10,25;14,15;15,25;10,65;15,5;11,63;13;14;15,18;15,49;0,4;1,7;S
E37;18;14;14;11,75;14,08;11,63;14,68;15,62;13,8;17,7;15,42;16;15,5;16,01;14,63;0,35;2,3;ES
E38;11,5;12;10,5;11,25;11,9;9,75;7,9;9,42;10,55;15,35;10,88;7;14;14,85;11,28;0,45;0,6;S
